species;treatment;temp;petri;sow_date;initial;cold_strat;D7;D14;D21;D28;D35;D42;empty;fungus
Galium pyrenaicum;D_constant_light;10;3;21/04/2023;25;0;0;0;0;0;0;0;0;2
Galium pyrenaicum;D_constant_light;10;4;21/04/2023;25;0;0;1;0;0;0;0;1;0
Gentiana verna;A_alternate_light;15_5;1;11/04/2023;25;0;0;0;0;0;0;0;1;0
Gentiana verna;A_alternate_light;15_5;2;11/04/2023;25;0;0;0;0;0;0;0;1;0
Gentiana verna;A_alternate_light;15_5;3;11/04/2023;25;0;0;0;0;0;0;0;1;2
Gentiana verna;A_alternate_light;15_5;4;11/04/2023;25;0;0;0;0;0;0;0;0;2
Gentiana verna;B_alternate_dark;15_5;1;11/04/2023;25;;;;;;;0;2;1
Gentiana verna;B_alternate_dark;15_5;2;11/04/2023;25;;;;;;;0;2;0
Gentiana verna;B_alternate_dark;15_5;3;11/04/2023;25;;;;;;;0;2;0
Gentiana verna;B_alternate_dark;15_5;4;11/04/2023;25;;;;;;;0;3;0
Gentiana verna;C_alternate_WP;15_5;1;11/04/2023;25;0;0;0;0;0;0;0;2;0
Gentiana verna;C_alternate_WP;15_5;2;11/04/2023;25;0;0;0;0;0;0;0;1;0
Gentiana verna;C_alternate_WP;15_5;3;11/04/2023;25;0;0;0;0;0;0;0;0;3
Gentiana verna;C_alternate_WP;15_5;4;11/04/2023;25;0;0;0;0;0;0;0;3;2
Gentiana verna;D_constant_light;10;1;11/04/2023;25;0;0;0;0;0;0;0;2;0
Gentiana verna;D_constant_light;10;2;11/04/2023;25;0;0;0;0;0;0;0;2;2
Gentiana verna;D_constant_light;10;3;11/04/2023;25;0;0;0;0;0;0;0;1;7
Gentiana verna;D_constant_light;10;4;11/04/2023;25;0;0;0;0;0;0;0;1;0
Gentianella campestris;A_alternate_light;15_5;1;13/04/2023;25;0;0;0;0;0;0;0;0;0
Gentianella campestris;A_alternate_light;15_5;2;13/04/2023;25;0;0;0;0;0;0;0;0;0
Gentianella campestris;A_alternate_light;15_5;3;13/04/2023;25;0;0;0;0;0;0;0;0;0
Gentianella campestris;A_alternate_light;15_5;4;13/04/2023;24;0;0;0;0;0;0;0;0;0
Gentianella campestris;B_alternate_dark;15_5;1;13/04/2023;25;;;;;;;0;0;0
Gentianella campestris;B_alternate_dark;15_5;2;13/04/2023;25;;;;;;;0;0;0
Gentianella campestris;B_alternate_dark;15_5;3;13/04/2023;25;;;;;;;0;0;0
